,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentenceNumber,sentence,reviewNumber
1198,gp:AOqpTOHjUXaP_AVX8lrUGIDtOJygnsQgj61flZzBIbYBqE0iXJQ3v-puxPmrrDjrjdtwaSI1TzLCQprkSKwyBw,Irene Lofton,https://play-lh.googleusercontent.com/a/AATXAJzI4IIsb0Q9Z1IDLs56ZGSkiSz8xplC4Wr5ztGu=mo,"i very seldom give five stars. would like to here but some things are missing. perhaps be better if i actually go to mayo clinic. however too old, no transpotation. i find the app very useful. thank you for all the many ways you help every one. do not need response from any one. no more to tell.",4,3,7.6,2021-06-08 14:56:14,nan,nan,8,no more to tell.,662
1199,gp:AOqpTOEHGKYuI8r8oAazMvS_iZevCjOPnCoQQHMAYRFKL2jHQ6gacViPf_e1T2FSSYpLNCYDbSYkvaJcPrUAiQ,Arsalan Manzoor,https://play-lh.googleusercontent.com/a/AATXAJy1oaMoOxXiargvIRjoPPSXQFKxUbXdblNxa5Nj=mo,great,5,0,7.6,2021-06-07 09:20:33,nan,nan,1,great,663
1200,gp:AOqpTOH2BFeed2oCtkXrQq_gA_-UuJqJ5qeVjjFAmOgY62hgGyiiUGDs9dKrDzTDzNeTBvGPGHaChq6o9yGGxw,ERICA HUNTER,https://play-lh.googleusercontent.com/a-/AOh14GiSpIKg4zIuFlNc7bxtY4b7GcZ23uRFKuOrZG8Xng,great app! all my info in one easy to use place. i can also contact my healthcare team on the app too! its great!,5,2,7.6,2021-06-07 05:11:50,nan,nan,1,great app!,664
1201,gp:AOqpTOH2BFeed2oCtkXrQq_gA_-UuJqJ5qeVjjFAmOgY62hgGyiiUGDs9dKrDzTDzNeTBvGPGHaChq6o9yGGxw,ERICA HUNTER,https://play-lh.googleusercontent.com/a-/AOh14GiSpIKg4zIuFlNc7bxtY4b7GcZ23uRFKuOrZG8Xng,great app! all my info in one easy to use place. i can also contact my healthcare team on the app too! its great!,5,2,7.6,2021-06-07 05:11:50,nan,nan,2,all my info in one easy to use place.,664
1202,gp:AOqpTOH2BFeed2oCtkXrQq_gA_-UuJqJ5qeVjjFAmOgY62hgGyiiUGDs9dKrDzTDzNeTBvGPGHaChq6o9yGGxw,ERICA HUNTER,https://play-lh.googleusercontent.com/a-/AOh14GiSpIKg4zIuFlNc7bxtY4b7GcZ23uRFKuOrZG8Xng,great app! all my info in one easy to use place. i can also contact my healthcare team on the app too! its great!,5,2,7.6,2021-06-07 05:11:50,nan,nan,3,i can also contact my healthcare team on the app too!,664
1203,gp:AOqpTOH2BFeed2oCtkXrQq_gA_-UuJqJ5qeVjjFAmOgY62hgGyiiUGDs9dKrDzTDzNeTBvGPGHaChq6o9yGGxw,ERICA HUNTER,https://play-lh.googleusercontent.com/a-/AOh14GiSpIKg4zIuFlNc7bxtY4b7GcZ23uRFKuOrZG8Xng,great app! all my info in one easy to use place. i can also contact my healthcare team on the app too! its great!,5,2,7.6,2021-06-07 05:11:50,nan,nan,4,its great!,664
1204,gp:AOqpTOFsER_44_oRBaGRbJYsCbsH66puaLXsU5OwMfU6bm_-VSTxjhvgn_GqFzEcsryqwHSaDs80LnEQL10j9g,Sherry Scott,https://play-lh.googleusercontent.com/a/AATXAJyvLTswRGp6xdT2XU1c0-QBGC7ECYUE6jNknHBh=mo,unable to use the pre-check in option. says an error on the server. otherwise an okay app.,2,3,7.6,2021-06-06 04:41:13,nan,nan,1,unable to use the pre - check in option.,665
1205,gp:AOqpTOFsER_44_oRBaGRbJYsCbsH66puaLXsU5OwMfU6bm_-VSTxjhvgn_GqFzEcsryqwHSaDs80LnEQL10j9g,Sherry Scott,https://play-lh.googleusercontent.com/a/AATXAJyvLTswRGp6xdT2XU1c0-QBGC7ECYUE6jNknHBh=mo,unable to use the pre-check in option. says an error on the server. otherwise an okay app.,2,3,7.6,2021-06-06 04:41:13,nan,nan,2,says an error on the server.,665
1206,gp:AOqpTOFsER_44_oRBaGRbJYsCbsH66puaLXsU5OwMfU6bm_-VSTxjhvgn_GqFzEcsryqwHSaDs80LnEQL10j9g,Sherry Scott,https://play-lh.googleusercontent.com/a/AATXAJyvLTswRGp6xdT2XU1c0-QBGC7ECYUE6jNknHBh=mo,unable to use the pre-check in option. says an error on the server. otherwise an okay app.,2,3,7.6,2021-06-06 04:41:13,nan,nan,3,otherwise an okay app.,665
1207,gp:AOqpTOEpBjn_YCEXwVwKaRsSoX5FeerBbv0GCW9Rl9rGxMArVQsDmO4pl3rcElivWLVYAYRWmyCNVNWw45F9fA,Kathy Mills,https://play-lh.googleusercontent.com/a/AATXAJyBHEkhNNVzGlcpdk0dXGf4vww2D95A20keh0bF=mo,i am hopeful this site is successful.,5,0,7.6,2021-06-05 20:08:14,nan,nan,1,i am hopeful this site is successful.,666
1208,gp:AOqpTOHyzEM_4Qu9Kz660VlrD9lHeFhvNh4U5qGfh7U3EMQzW_owR7Ki4qLClOmGwINZHP9HP7gbj3FRdn7mMA,Karen Jacobs,https://play-lh.googleusercontent.com/a/AATXAJyVV4FQhWJpamUJ1yrLVBq4YfNMAKw6T05ePqX0=mo,your portal does not update itself. just keeps rotating as if trying to. frustrating to say the least,1,1,7.0,2021-06-05 05:58:23,nan,nan,1,your portal does not update itself.,667
1209,gp:AOqpTOHyzEM_4Qu9Kz660VlrD9lHeFhvNh4U5qGfh7U3EMQzW_owR7Ki4qLClOmGwINZHP9HP7gbj3FRdn7mMA,Karen Jacobs,https://play-lh.googleusercontent.com/a/AATXAJyVV4FQhWJpamUJ1yrLVBq4YfNMAKw6T05ePqX0=mo,your portal does not update itself. just keeps rotating as if trying to. frustrating to say the least,1,1,7.0,2021-06-05 05:58:23,nan,nan,2,just keeps rotating as if trying to.,667
1210,gp:AOqpTOHyzEM_4Qu9Kz660VlrD9lHeFhvNh4U5qGfh7U3EMQzW_owR7Ki4qLClOmGwINZHP9HP7gbj3FRdn7mMA,Karen Jacobs,https://play-lh.googleusercontent.com/a/AATXAJyVV4FQhWJpamUJ1yrLVBq4YfNMAKw6T05ePqX0=mo,your portal does not update itself. just keeps rotating as if trying to. frustrating to say the least,1,1,7.0,2021-06-05 05:58:23,nan,nan,3,frustrating to say the least,667
1211,gp:AOqpTOGeGgdx5Cw6aR_TM0UKlh6EXQo8grvJyZKKWeQedHKarAuzPTdu5t-H2IddHRrczw7hlIseSw717UN8WQ,Rosie Oehler,https://play-lh.googleusercontent.com/a/AATXAJwn5HWwmqQW92KPTEegFForBJG49yJ5X2CRiRZt=mo,"makes it easy to keep track of appointments. let's you review you lab tests and letters from you drs., even though they write in doctor speak and not english.",4,1,7.5,2021-06-01 17:10:47,nan,nan,1,makes it easy to keep track of appointments.,668
1212,gp:AOqpTOGeGgdx5Cw6aR_TM0UKlh6EXQo8grvJyZKKWeQedHKarAuzPTdu5t-H2IddHRrczw7hlIseSw717UN8WQ,Rosie Oehler,https://play-lh.googleusercontent.com/a/AATXAJwn5HWwmqQW92KPTEegFForBJG49yJ5X2CRiRZt=mo,"makes it easy to keep track of appointments. let's you review you lab tests and letters from you drs., even though they write in doctor speak and not english.",4,1,7.5,2021-06-01 17:10:47,nan,nan,2,"let us you review you lab tests and letters from you doctors., even though they write in doctor speak and not english.",668
